date,node,country,transport,version,lower,upper,clients,frac
2019-02-05,bridge,tc,,,,,1,79
2019-02-05,bridge,td,,,,,7,79
2019-02-05,bridge,tg,,,,,7,79
2019-02-05,bridge,th,,,,,831,79
2019-02-05,bridge,tj,,,,,21,79
2019-02-05,bridge,tl,,,,,1,79
2019-02-05,bridge,tm,,,,,101,79
2019-02-05,bridge,tn,,,,,84,79
2019-02-05,bridge,tr,,,,,2933,79
2019-02-05,bridge,tt,,,,,14,79
2019-02-05,bridge,tw,,,,,40,79
2019-02-05,bridge,tz,,,,,17,79
2019-02-05,bridge,ua,,,,,1054,79
2019-02-05,bridge,ug,,,,,61,79
2019-02-05,bridge,us,,,,,4833,79
2019-02-05,bridge,uy,,,,,11,79
2019-02-05,bridge,uz,,,,,724,79
2019-02-05,bridge,va,,,,,1,79
2019-02-05,bridge,vc,,,,,2,79
2019-02-05,bridge,ve,,,,,99,79
2019-02-05,bridge,vg,,,,,2,79
2019-02-05,bridge,vi,,,,,1,79
2019-02-05,bridge,vn,,,,,356,79
2019-02-05,bridge,vu,,,,,0,79
2019-02-05,bridge,ws,,,,,2,79
2019-02-05,bridge,xk,,,,,1,79
2019-02-05,bridge,ye,,,,,37,79
2019-02-05,bridge,za,,,,,147,79
2019-02-05,bridge,zm,,,,,6,79
2019-02-05,bridge,zw,,,,,55,79
2019-02-05,relay,,,,,,1052754,69
2019-02-05,relay,??,,,,,2686,69
2019-02-05,relay,ad,,,,,71,69
2019-02-05,relay,ae,,,,,9178,69
2019-02-05,relay,af,,,,,203,69
2019-02-05,relay,ag,,,,,28,69
2019-02-05,relay,ai,,,,,6,69
2019-02-05,relay,al,,,,,470,69
2019-02-05,relay,am,,,,,745,69
2019-02-05,relay,ao,,,,,126,69
2019-02-05,relay,ar,,,,,4745,69
2019-02-05,relay,as,,,,,6,69
2019-02-05,relay,at,,,,,5637,69
2019-02-05,relay,au,,,,,11780,69
2019-02-05,relay,aw,,,,,39,69
2019-02-05,relay,ax,,,,,15,69
2019-02-05,relay,az,,,,,565,69
2019-02-05,relay,ba,,,,,445,69
2019-02-05,relay,bb,,,,,89,69
2019-02-05,relay,bd,,,,,1946,69
2019-02-05,relay,be,,,,,4011,69
2019-02-05,relay,bf,,,,,69,69
2019-02-05,relay,bg,,,,,3895,69
2019-02-05,relay,bh,,,,,277,69
2019-02-05,relay,bi,,,,,14,69
2019-02-05,relay,bj,,,,,149,69
2019-02-05,relay,bl,,,,,9,69
2019-02-05,relay,bm,,,,,40,69
2019-02-05,relay,bn,,,,,110,69
2019-02-05,relay,bo,,,,,560,69
2019-02-05,relay,bq,,,,,11,69
2019-02-05,relay,br,,,,,18351,69
2019-02-05,relay,bs,,,,,122,69
2019-02-05,relay,bt,,,,,6,69
2019-02-05,relay,bw,,,,,85,69
2019-02-05,relay,by,,,,,3877,69
2019-02-05,relay,bz,,,,,56,69
2019-02-05,relay,ca,,,,,20715,69
2019-02-05,relay,cd,,,,,151,69
2019-02-05,relay,cf,,,,,9,69
2019-02-05,relay,cg,,,,,55,69
2019-02-05,relay,ch,,,,,7994,69
2019-02-05,relay,ci,,,,,298,69
2019-02-05,relay,ck,,,,,2,69
2019-02-05,relay,cl,,,,,2515,69
2019-02-05,relay,cm,,,,,367,69
2019-02-05,relay,cn,,,,,1861,69
2019-02-05,relay,co,,,,,2809,69
2019-02-05,relay,cr,,,,,502,69
2019-02-05,relay,cu,,,,,276,69
2019-02-05,relay,cv,,,,,51,69
2019-02-05,relay,cw,,,,,102,69
2019-02-05,relay,cx,,,,,0,69
2019-02-05,relay,cy,,,,,536,69
2019-02-05,relay,cz,,,,,5296,69
2019-02-05,relay,de,,,,,89953,69
2019-02-05,relay,dj,,,,,23,69
2019-02-05,relay,dk,,,,,2499,69
2019-02-05,relay,dm,,,,,25,69
2019-02-05,relay,do,,,,,616,69
2019-02-05,relay,dz,,,,,1226,69
2019-02-05,relay,ec,,,,,1012,69
2019-02-05,relay,ee,,,,,856,69
2019-02-05,relay,eg,,,,,1568,69
2019-02-05,relay,er,,,,,9,69
2019-02-05,relay,es,,,,,13512,69
2019-02-05,relay,et,,,,,460,69
2019-02-05,relay,eu,,,,,2,69
2019-02-05,relay,fi,,,,,6894,69
2019-02-05,relay,fj,,,,,42,69
2019-02-05,relay,fk,,,,,2,69
2019-02-05,relay,fm,,,,,5,69
2019-02-05,relay,fo,,,,,24,69
2019-02-05,relay,fr,,,,,59673,69
2019-02-05,relay,ga,,,,,84,69
2019-02-05,relay,gb,,,,,35910,69
2019-02-05,relay,gd,,,,,27,69
2019-02-05,relay,ge,,,,,829,69
2019-02-05,relay,gf,,,,,70,69
2019-02-05,relay,gg,,,,,31,69
2019-02-05,relay,gh,,,,,864,69
2019-02-05,relay,gi,,,,,21,69
2019-02-05,relay,gl,,,,,28,69
2019-02-05,relay,gm,,,,,31,69
2019-02-05,relay,gn,,,,,30,69
2019-02-05,relay,gp,,,,,135,69
2019-02-05,relay,gq,,,,,14,69
2019-02-05,relay,gr,,,,,2702,69
2019-02-05,relay,gt,,,,,391,69
2019-02-05,relay,gu,,,,,52,69
2019-02-05,relay,gw,,,,,7,69
2019-02-05,relay,gy,,,,,212,69
2019-02-05,relay,hk,,,,,2830,69
2019-02-05,relay,hn,,,,,234,69
2019-02-05,relay,hr,,,,,1225,69
2019-02-05,relay,ht,,,,,73,69
2019-02-05,relay,hu,,,,,2366,69
2019-02-05,relay,id,,,,,37904,69
2019-02-05,relay,ie,,,,,5574,69
2019-02-05,relay,il,,,,,5229,69
2019-02-05,relay,im,,,,,78,69
2019-02-05,relay,in,,,,,34578,69
2019-02-05,relay,io,,,,,0,69
2019-02-05,relay,iq,,,,,467,69
